Date, Total current assets, Total assets, Total current liabilities, Total liabilities, Total shareholder's equity,Total shares outstanding (common shares), Dividend, Net income,Debt Equity,Current Ratio,EPS,Book Value
 12/05/2015,868965000.000,6767125000.000,318750000.000,2667383000.000,4099742000.000,2216200703.000,0.320,28743000.000,0.651,2.726,-0.104,1.850
 12/08/2015,890304000.000,6749815000.000,316486000.000,2590046000.000,4159769000.000,217377496.000,0.320,10083000.000,0.623,2.813,-0.238,19.136
 30/10/2015,986928000.000,6805608000.000,333769000.000,2650352000.000,4155256000.000,217647221.000,0.320,1294000.000,0.638,2.957,-0.160,19.092
 23/03/2016,829425000.000,6683180000.000,311522000.000,2542160000.000,4141020000.000,218028368.000,0.260,-15537000.000,0.614,2.662,-0.006,18.993
 29/04/2016,872316000.000,6716564000.000,261944000.000,2461450000.000,4255114000.000,221281167.000,0.260,27788000.000,0.578,3.330,0.107,19.229
 28/07/2016,1196760000.000,7024196000.000,415403000.000,2644948000.000,4379247000.000,224188926.000,0.260,18990000.000,0.604,2.881,0.145,19.534
 01/11/2016,1354347000.000,7172879000.000,482537000.000,2714415000.000,4458464000.000,225251715.000,0.260,49392000.000,0.609,2.807,0.358,19.793
 27/03/2017,1230179000.000,7107951000.000,423622000.000,2615477000.000,4492474000.000,225465654.000,0.410,62654000.000,0.582,2.904,0.707,19.925
 28/04/2017,1493574000.000,7397269000.000,420346000.000,2618767000.000,4778502000.000,231081041.000,0.410,75950000.000,0.548,3.553,0.911,20.679
 27/07/2017,1686749000.000,7695042000.000,347706000.000,2844616000.000,4850426000.000,231980778.000,0.410,61884000.000,0.586,4.851,1.093,20.909
 26/10/2017,1708021000.000,7875200000.000,443135000.000,2955649000.000,4919551000.000,232312281.000,0.410,70955000.000,0.601,3.854,1.179,21.176
 23/03/2018,1461534000.000,7865601000.000,333821000.000,2918610000.000,4946991000.000,232793335.000,0.440,35098000.000,0.590,4.378,1.052,21.251
 27/04/2018,1218710000.000,7876444.000,335577000.000,2936395000.000,4940049000.000,233422877.000,0.440,44930000.000,0.594,3.632,0.915,21.164
 26/07/2018,1485717000.000,8278687000.000,369792000.000,3346529000.000,4932158000.000,234085916.000,0.440,4972000.000,0.679,4.018,0.670,21.070
 25/10/2018,1357677000.000,8355839000.000,461304000.000,3406984000.000,4948855000.000,234550171.000,0.440,17053000.000,0.688,2.943,0.437,21.099
 26/03/2019,1072452000.000,7852843000.000,361449000.000,3302831000.000,4550012000.000,235025507.000,0.500,-393656000.000,0.726,2.967,-1.389,19.360
 26/04/2019,956140000.000,7912944000.000,323073000.000,3345840000.000,4567104000.000,235812572.000,0.500,37032000.000,0.733,2.960,-1.424,19.368
